X,Y,OBJECTID,STOP_NAME,STOP_CODE,NAPTAN_ATCO,ROAD_NAME,ROUTES,LIVE_BUS_ARRIVAL,OS_EASTING,OS_NORTHING,POSTCODE,DATE_UPDATED
515180.000000097,155026.999999566,5237667,The Ridgeway,BP3092,40004408172B,GUILDFORD ROAD,465,https://tfl.gov.uk/bus/stop/40004408172B/,515180,155027,KT22 9DX,2024-12-11 00:00:00+00:00
517232.000000088,153814.999999402,5237668,Byttom Hill,BP3103,40004408133A,Mickleham By-Pass,465,https://tfl.gov.uk/bus/stop/40004408133A/,517232,153815,RH5 6DN,2024-12-11 00:00:00+00:00
512901.000000049,188487.999999594,5237669,Suffolk Road,BP3117,490008961W,SUFFOLK ROAD,H11,https://tfl.gov.uk/bus/stop/490008961W/,512901,188488,HA2 7QF,2024-12-11 00:00:00+00:00
522061.000000073,160418.999999551,5237670,Longdown Road,BP3127,40004406033B,ALEXANDRA ROAD,166,https://tfl.gov.uk/bus/stop/40004406033B/,522061,160419,KT17 4DB,2024-12-11 00:00:00+00:00
533597.000000191,171812.999999514,5237671,Kingswood Drive / College Road,BP3873,490008841W,KINGSWOOD DRIVE,450,https://tfl.gov.uk/bus/stop/490008841W/,533597,171813,SE19 1UX,2024-12-11 00:00:00+00:00
534503.000000223,175622.999999526,5237672,Peckham Rye / Nunhead Lane,34784,490010886A,PECKHAM RYE (EAST SIDE),37,https://tfl.gov.uk/bus/stop/490010886A/,534503,175623,SE15 3NX,2024-12-11 00:00:00+00:00
547121.000000337,162676.99999933,5237673,Pratts Bottom / Sevenoaks Road,BP4315,490011165N,RUSHMORE HILL,R10,https://tfl.gov.uk/bus/stop/490011165N/,547121,162677,BR6 7NH,2024-12-11 00:00:00+00:00
528286.000000085,187398.99999945,5237674,Pond Square,BP4325,490016698N,HIGHGATE WEST HILL,214,https://tfl.gov.uk/bus/stop/490016698N/,528286,187399,N6 6DB,2024-12-11 00:00:00+00:00
543379.000000094,164957.999999163,5237675,Princess Royal University Hospital,BP4332,490006756W2,PRIVATE ROAD IN PRINCESS ROYAL UNIVERSITY HOSPITAL,261,https://tfl.gov.uk/bus/stop/490006756W2/,543379,164958,BR6 8PQ,2024-12-11 00:00:00+00:00
532409.000000195,186223.999999548,5237676,Riversdale Road,BP4326,490016700N,GREEN LANES,"141, 341, 393",https://tfl.gov.uk/bus/stop/490016700N/,532409,186224,N5 2LG,2024-12-11 00:00:00+00:00
